bigGraceKey,bigGraceName,explain,necessaryBigGraceKey,conditionWho,conditionWhat,conditionValue,conditionHow,resultWho1,resultWhat1,resultValue1,resultValueIsPercent1,resultHow1,relationOfVariables,resultWho2,resultWhat2,resultValue2,resultValueIsPercent2,resultHow2
0,전사의 길,플레이어의 물리 데미지 10% 증가합니다.,-1,-1,-1,-1,-1,3000,4005,10,5001,6000,7000,-1,-1,-1,-1,-1
1,신검합일,플레이어가 검 착용 시 플레이어의 물리 데미지 20% 증가합니다.,0,0,1000,-1,2000,3000,4005,20,5001,6000,7000,-1,-1,-1,-1,-1
2,둔기마스터,플레이어가 도끼나 창 착용 시 플레이어의 물리 데미지 20% 증가,0,0,1008,-1,2000,3000,4005,20,5001,6000,7000,-1,-1,-1,-1,-1
3,공격이 최고의 방어,플레이어가 검만 착용 중 일 때 플레이어의 공격 속도 10% 증가,1,0,1001,-1,2000,3000,4009,10,5001,6000,7000,-1,-1,-1,-1,-1
4,방어가 최고의 공격,"플레이어가 검과 방패 착용 시 플레이어의 물리데미지 15%, 방어력 5% 증가",1,0,1009,-1,2000,3000,4005,15,5001,6000,7000,3000,4007,5,5001,6000
5,하세용,하세용,2,,,,,,,,,,,,,,,
6,후,후,2,,,,,,,,,,,,,,,
7,이,이,3,,,,,,,,,,,,,,,
8,휴이,휴이,4,,,,,,,,,,,,,,,
9,영, ,5,,,,,,,,,,,,,,,
10,차,차,6,,,,,,,,,,,,,,,
11,영,영,7,,,,,,,,,,,,,,,
12,차,차,8,,,,,,,,,,,,,,,
13,언,언,9,,,,,,,,,,,,,,,
14,제,제,10,,,,,,,,,,,,,,,
15,까지,까지,11,,,,,,,,,,,,,,,
16,어깨,어깨,12,,,,,,,,,,,,,,,
17,춤을,춤을,13,,,,,,,,,,,,,,,
18,추게,추게,14,,,,,,,,,,,,,,,
19,할거야,할거야,15,,,,,,,,,,,,,,,
20,내어깨를,내어깨를,16,,,,,,,,,,,,,,,
21,봐,봐,17,,,,,,,,,,,,,,,
22,탈골됐넹?,탈골됐넹?,18,,,,,,,,,,,,,,,
