bigGraceKey,bigGraceName,explain,necessaryBigGraceKey,conditionWho,conditionWhat,conditionValue,conditionHow,resultWho1,resultWhat1,resultValue1,resultValueIsPercent1,resultHow1,relationOfVariables,resultWho2,resultWhat2,resultValue2,resultValueIsPercent2,resultHow2
1000,궁수의 길,플레이어가 활 장착 시 플레이어의 공격 속도 10% 증가,-1,0,1005,-1,2000,3000,4009,10,5001,6000,7000,-1,-1,-1,-1,-1
1001,저격수,플레이어가 활 장착 시 플레이어의 공격 거리 2 증가 ,1000,0,1005,-1,2000,3000,4005,2,5000,6000,7000,-1,-1,-1,-1,-1
1002,속사,플레이어가 활 장착 시 플레이어의 공격 속도 20% 증가,1000,0,1005,-1,2000,3000,4009,20,5001,6000,7000,-1,-1,-1,-1,-1
1003,공격이 최고의 방어,들어올까?,1001,,,,,,,,,,,,,,,
1004,안녕,안녕,1001,,,,,,,,,,,,,,,
1005,하세용,하세용,1002,,,,,,,,,,,,,,,
1006,후,후,1002,,,,,,,,,,,,,,,
1007,이,이,1003,,,,,,,,,,,,,,,
1008,휴이,휴이,1004,,,,,,,,,,,,,,,
1009,영,영,1005,,,,,,,,,,,,,,,
1010,차,차,1006,,,,,,,,,,,,,,,
1011,영,영,1007,,,,,,,,,,,,,,,
1012,차,차,1008,,,,,,,,,,,,,,,
1013,언,언,1009,,,,,,,,,,,,,,,
1014,제,제,1010,,,,,,,,,,,,,,,
1015,까지,까지,1011,,,,,,,,,,,,,,,
1016,어깨,어깨,1012,,,,,,,,,,,,,,,
1017,춤을,춤을,1013,,,,,,,,,,,,,,,
1018,추게,추게,1014,,,,,,,,,,,,,,,
1019,할거야,할거야,1015,,,,,,,,,,,,,,,
1020,내어깨를,내어깨를,1016,,,,,,,,,,,,,,,
1021,봐,봐,1017,,,,,,,,,,,,,,,
1022,탈골됐넹?,탈골됐넹?,1018,,,,,,,,,,,,,,,
