bigGraceKey,bigGraceName,explain,necessaryBigGraceKey,conditionWho,conditionWhat,conditionValue,conditionHow,resultWho1,resultWhat1,resultValue1,resultValueIsPercent1,resultHow1,relationOfVariables,resultWho2,resultWhat2,resultValue2,resultValueIsPercent2,resultHow2
2000,마법의 길,플레이어가 지팡이 장착 시 플레이어의 마법 데미지 10% 증가,-1,0,1006,-1,2000,3000,4006,10,5001,6000,7000,-1,-1,-1,-1,-1
2001,배틀메이지,"플레이어의 지팡이와 방패 장착 시 플레이어의 마법 데미지 10%, 방어력 5% 증가",0,0,1010,-1,2000,3000,4006,10,5001,6000,7000,3000,4007,5,5001,6000
2002,대마법사,플레이어의 지팡이만 장착 시 플레이어의 마법데미지 20% 증가,0,0,1007,-1,2000,3000,4006,20,5001,6000,7000,-1,-1,-1,-1,-1
2003,공격이 최고의 방어,들어올까?,1,,,,,,,,,,,,,,,
2004,안녕,안녕,1,,,,,,,,,,,,,,,
2005,하세용,하세용,2,,,,,,,,,,,,,,,
2006,후,후,2,,,,,,,,,,,,,,,
2007,이,이,3,,,,,,,,,,,,,,,
2008,휴이,휴이,4,,,,,,,,,,,,,,,
2009,영,영,5,,,,,,,,,,,,,,,
2010,차,차,6,,,,,,,,,,,,,,,
2011,영,영,7,,,,,,,,,,,,,,,
2012,차,차,8,,,,,,,,,,,,,,,
2013,언,언,9,,,,,,,,,,,,,,,
2014,제,제,10,,,,,,,,,,,,,,,
2015,까지,까지,11,,,,,,,,,,,,,,,
2016,어깨,어깨,12,,,,,,,,,,,,,,,
2017,춤을,춤을,13,,,,,,,,,,,,,,,
2018,추게,추게,14,,,,,,,,,,,,,,,
2019,할거야,할거야,15,,,,,,,,,,,,,,,
2020,내어깨를,내어깨를,16,,,,,,,,,,,,,,,
2021,봐,봐,17,,,,,,,,,,,,,,,
2022,탈골됐넹?,탈골됐넹?,18,,,,,,,,,,,,,,,
