itemKey,itemName,itemKorName,defensivePower,equipLevel,buyPrice,sellPrice,disassembleItemKey,disassembleItemAmount,itemRank
2000,Cloth_1,Cloth_1,1,0,2000,1000,12011,1,3
2001,Cloth_2,Cloth_2,2,1,2000,1000,12011,2,3
2002,Cloth_3,Cloth_3,3,2,2000,1000,12011,3,3
2003,Cloth_4,Cloth_4,4,3,2000,1000,12011,4,3
2004,Cloth_5,Cloth_5,5,4,2000,1000,12011,5,3
2005,Cloth_6,Cloth_6,6,5,2000,1000,12011,6,3
2006,Cloth_7,Cloth_7,7,6,2000,1000,12011,7,3
2007,Cloth_8,Cloth_8,8,7,2000,1000,12011,8,3
2008,Cloth_9,Cloth_9,9,8,2000,1000,12011,9,3
2009,Cloth_10,Cloth_10,10,9,2000,1000,12011,10,3
2010,Cloth_11,Cloth_11,11,10,2000,1000,12011,11,3
2011,Cloth_12,Cloth_12,12,11,2000,1000,12011,12,3
2012,Cloth_13,Cloth_13,13,12,2000,1000,12011,13,3
2013,Cloth_14,Cloth_14,14,13,2000,1000,12011,14,3
2014,Cloth_15,Cloth_15,15,14,2000,1000,12011,15,3
2015,Cloth_16,Cloth_16,16,15,2000,1000,12011,16,3
2016,Cloth_17,Cloth_17,17,16,2000,1000,12011,17,3
2017,Cloth_18,Cloth_18,18,17,2000,1000,12011,18,3
2018,Cloth_19,Cloth_19,19,18,2000,1000,12011,19,3
2019,Cloth_20,Cloth_20,20,19,2000,1000,12011,20,3
2020,Cloth_21,Cloth_21,21,20,2000,1000,12011,21,3
2021,Cloth_22,Cloth_22,22,21,2000,1000,12011,22,3
2022,Cloth_23,Cloth_23,23,22,2000,1000,12011,23,3
2023,Cloth_24,Cloth_24,24,23,2000,1000,12011,24,3
2024,Cloth_25,Cloth_25,25,24,2000,1000,12011,25,3
