itemKey,itemName,itemKorName,defensivePower,equipLevel,buyPrice,sellPrice,disassembleItemKey,disassembleItemAmount,itemRank
4000,Helmet_1,Helmet_1,1,0,2000,1000,12011,1,1
4001,Helmet_2,Helmet_2,2,1,2000,1000,12011,2,1
4002,Helmet_3,Helmet_3,3,2,2000,1000,12011,3,1
4003,Helmet_4,Helmet_4,4,3,2000,1000,12011,4,1
4004,Helmet_5,Helmet_5,5,4,2000,1000,12011,5,1
4005,Helmet_6,Helmet_6,6,5,2000,1000,12011,6,1
4006,Helmet_7,Helmet_7,7,6,2000,1000,12011,7,1
4007,Helmet_8,Helmet_8,8,7,2000,1000,12011,8,1
4008,Helmet_9,Helmet_9,9,8,2000,1000,12011,9,1
4009,Helmet_10,Helmet_10,10,9,2000,1000,12011,10,1
4010,Helmet_11,Helmet_11,11,10,2000,1000,12011,11,1
4011,Helmet_12,Helmet_12,12,11,2000,1000,12011,12,1
4012,Helmet_13,Helmet_13,13,12,2000,1000,12011,13,1
4013,Helmet_14,Helmet_14,14,13,2000,1000,12011,14,1
4014,Helmet_15,Helmet_15,15,14,2000,1000,12011,15,1
4015,Helmet_16,Helmet_16,16,15,2000,1000,12011,16,1
4016,Helmet_17,Helmet_17,17,16,2000,1000,12011,17,1
4017,Helmet_18,Helmet_18,18,17,2000,1000,12011,18,1
4018,Helmet_19,Helmet_19,19,18,2000,1000,12011,19,1
4019,Helmet_20,Helmet_20,20,19,2000,1000,12011,20,1
4020,Helmet_21,Helmet_21,21,20,2000,1000,12011,21,1
4021,Helmet_22,Helmet_22,22,21,2000,1000,12011,22,1
