itemKey,itemName,itemKorName,defensivePower,equipLevel,buyPrice,sellPrice,disassembleItemKey,disassembleItemAmount,itemRank
5000,Armor_1,Armor_1,1,0,2000,1000,12011,1,2
5001,Armor_2,Armor_2,2,1,2000,1000,12011,2,2
5002,Armor_3,Armor_3,3,2,2000,1000,12011,3,2
5003,Armor_4,Armor_4,4,3,2000,1000,12011,4,2
5004,Armor_5,Armor_5,5,4,2000,1000,12011,5,2
5005,Armor_6,Armor_6,6,5,2000,1000,12011,6,2
5006,Armor_7,Armor_7,7,6,2000,1000,12011,7,2
5007,Armor_8,Armor_8,8,7,2000,1000,12011,8,2
5008,Armor_9,Armor_9,9,8,2000,1000,12011,9,2
5009,Armor_10,Armor_10,10,9,2000,1000,12011,10,2
5010,Armor_11,Armor_11,11,10,2000,1000,12011,11,2
5011,Armor_12,Armor_12,12,11,2000,1000,12011,12,2
5012,Armor_13,Armor_13,13,12,2000,1000,12011,13,2
5013,Armor_14,Armor_14,14,13,2000,1000,12011,14,2
5014,Armor_15,Armor_15,15,14,2000,1000,12011,15,2
5015,Armor_16,Armor_16,16,15,2000,1000,12011,16,2
5016,Armor_17,Armor_17,17,16,2000,1000,12011,17,2
5017,Armor_18,Armor_18,18,17,2000,1000,12011,18,2
5018,Armor_19,Armor_19,19,18,2000,1000,12011,19,2
5019,Armor_20,Armor_20,20,19,2000,1000,12011,20,2
